report_id,inspection_date,segment_id,issue_type,severity,recommendation,repair_date,inspector_id,inspection_method
RPT-00268,2022-07-30,SEG_057,No Issues,None,Routine Maintenance,,INS-609,ILI
RPT-00269,2022-07-17,SEG_058,Mechanical Damage,Major,Immediate Shutdown,2022-08-12,INS-404,ILI
RPT-00270,2022-07-25,SEG_059,Corrosion,Minor,Immediate Shutdown,,INS-961,ILI
RPT-00271,2022-07-12,SEG_060,Coating Damage,Moderate,Repair ASAP,2022-07-18,INS-565,ILI
RPT-00272,2022-07-31,SEG_061,No Issues,None,Routine Maintenance,,INS-545,ILI
RPT-00273,2022-07-25,SEG_062,No Issues,None,Routine Maintenance,,INS-581,ILI
RPT-00274,2022-07-26,SEG_063,Mechanical Damage,Critical,Immediate Shutdown,2022-08-20,INS-308,ILI
RPT-00275,2022-07-04,SEG_064,Mechanical Damage,Major,Repair ASAP,2022-07-09,INS-371,ILI
RPT-00276,2022-07-30,SEG_065,Coating Damage,Moderate,Monitor,,INS-435,ILI
RPT-00277,2022-07-09,SEG_066,Third-Party Interference,Moderate,Investigate,,INS-504,ILI
RPT-00278,2022-07-10,SEG_067,Third-Party Interference,Moderate,Investigate,,INS-847,ILI
RPT-00279,2022-07-22,SEG_068,Vegetation Encroachment,Minor,Clear Area,,INS-973,ILI
RPT-00280,2022-07-23,SEG_069,Vegetation Encroachment,Minor,Monitor,,INS-789,ILI
RPT-00281,2022-07-22,SEG_070,No Issues,None,Routine Maintenance,,INS-376,ILI
RPT-00282,2022-07-20,SEG_071,Vegetation Encroachment,Minor,Monitor,,INS-637,ILI
RPT-00283,2022-07-25,SEG_072,Mechanical Damage,Moderate,Repair ASAP,2022-08-13,INS-167,ILI
RPT-00284,2022-07-27,SEG_073,Third-Party Interference,Moderate,Investigate,,INS-651,ILI
RPT-00285,2022-07-17,SEG_074,Coating Damage,Moderate,Repair ASAP,2022-07-24,INS-181,ILI
RPT-00286,2022-07-01,SEG_075,Third-Party Interference,Major,Investigate,2022-07-23,INS-801,ILI
RPT-00287,2022-07-04,SEG_076,Third-Party Interference,Moderate,Repair ASAP,2022-07-16,INS-277,ILI
RPT-00288,2022-07-14,SEG_077,Coating Damage,Minor,Repair ASAP,2022-08-10,INS-173,ILI
RPT-00289,2022-07-25,SEG_078,Vegetation Encroachment,Minor,Clear Area,,INS-866,ILI
RPT-00290,2022-07-18,SEG_079,Coating Damage,Moderate,Repair ASAP,2022-08-01,INS-821,ILI
RPT-00291,2022-07-17,SEG_080,Mechanical Damage,Major,Repair ASAP,2022-08-11,INS-641,ILI
RPT-00292,2022-07-28,SEG_081,Vegetation Encroachment,Minor,Clear Area,,INS-372,ILI
RPT-00293,2022-07-19,SEG_082,Vegetation Encroachment,Minor,Clear Area,,INS-261,ILI
RPT-00294,2022-07-09,SEG_083,Third-Party Interference,Major,Investigate,2022-07-30,INS-350,ILI
RPT-00295,2022-07-30,SEG_084,Coating Damage,Minor,Monitor,,INS-523,ILI
RPT-00296,2022-07-17,SEG_085,Vegetation Encroachment,Minor,Clear Area,,INS-924,ILI
RPT-00297,2022-07-04,SEG_009,Coating Damage,Minor,Repair ASAP,2022-08-01,INS-748,ROW Patrol
RPT-00298,2022-07-04,SEG_022,No Issues,None,Routine Maintenance,,INS-114,Visual
RPT-00299,2022-07-04,SEG_032,Mechanical Damage,Major,Repair ASAP,2022-07-15,INS-988,Hydrotest
RPT-00300,2022-07-04,SEG_017,No Issues,None,Routine Maintenance,,INS-278,Visual
RPT-00301,2022-07-04,SEG_049,No Issues,None,Routine Maintenance,,INS-988,ROW Patrol
RPT-00302,2022-07-04,SEG_053,Vegetation Encroachment,Minor,Clear Area,,INS-730,Hydrotest
RPT-00303,2022-07-04,SEG_066,No Issues,None,Routine Maintenance,,INS-287,Visual
RPT-00304,2022-07-04,SEG_072,No Issues,None,Routine Maintenance,,INS-235,Visual
RPT-00305,2022-07-11,SEG_000,No Issues,None,Routine Maintenance,,INS-561,Visual
RPT-00306,2022-07-11,SEG_048,Coating Damage,Minor,Repair ASAP,2022-08-07,INS-765,Hydrotest
RPT-00307,2022-07-11,SEG_008,Vegetation Encroachment,Minor,Clear Area,,INS-955,Visual
RPT-00308,2022-07-11,SEG_019,Third-Party Interference,Major,Investigate,2022-08-06,INS-925,Hydrotest
RPT-00309,2022-07-11,SEG_032,Vegetation Encroachment,Minor,Clear Area,,INS-899,ROW Patrol
RPT-00310,2022-07-11,SEG_045,No Issues,None,Routine Maintenance,,INS-409,ROW Patrol
RPT-00311,2022-07-11,SEG_026,Mechanical Damage,Critical,Immediate Shutdown,2022-08-03,INS-375,ILI
RPT-00312,2022-07-11,SEG_025,No Issues,None,Routine Maintenance,,INS-791,Visual
RPT-00313,2022-07-18,SEG_039,Third-Party Interference,Moderate,Investigate,,INS-810,ILI
RPT-00314,2022-07-18,SEG_077,No Issues,None,Routine Maintenance,,INS-195,ILI
RPT-00315,2022-07-18,SEG_072,Corrosion,Critical,Monitor,2022-07-26,INS-370,Hydrotest
RPT-00316,2022-07-18,SEG_060,No Issues,None,Routine Maintenance,,INS-130,Visual
RPT-00317,2022-07-18,SEG_013,Third-Party Interference,Moderate,Repair ASAP,2022-08-12,INS-808,ILI
RPT-00318,2022-07-18,SEG_030,Third-Party Interference,Major,Repair ASAP,2022-08-11,INS-392,ILI
RPT-00319,2022-07-18,SEG_033,No Issues,None,Routine Maintenance,,INS-633,ROW Patrol
RPT-00320,2022-07-18,SEG_000,Corrosion,Critical,Monitor,2022-07-31,INS-397,ILI
RPT-00321,2022-07-25,SEG_085,Vegetation Encroachment,Minor,Clear Area,,INS-279,ILI
RPT-00322,2022-07-25,SEG_023,Vegetation Encroachment,Minor,Monitor,,INS-661,ROW Patrol
RPT-00323,2022-07-25,SEG_068,Third-Party Interference,Major,Investigate,2022-08-09,INS-630,Visual
RPT-00324,2022-07-25,SEG_075,Vegetation Encroachment,Minor,Clear Area,,INS-668,Visual
RPT-00325,2022-07-25,SEG_030,Vegetation Encroachment,Minor,Monitor,,INS-410,UT
RPT-00326,2022-07-25,SEG_077,Vegetation Encroachment,Minor,Clear Area,,INS-786,ROW Patrol
RPT-00327,2022-07-25,SEG_011,No Issues,None,Routine Maintenance,,INS-968,ROW Patrol
RPT-00328,2022-07-25,SEG_043,Third-Party Interference,Major,Repair ASAP,2022-08-11,INS-479,ILI
RPT-00329,2022-07-28,SEG_040,Coating Damage,Moderate,Monitor,,INS-944,UT
RPT-00330,2022-08-01,SEG_009,No Issues,None,Routine Maintenance,,INS-887,Visual
RPT-00331,2022-08-01,SEG_022,Vegetation Encroachment,Minor,Monitor,,INS-813,UT
RPT-00332,2022-08-01,SEG_079,Corrosion,Major,Immediate Shutdown,2022-08-27,INS-444,ILI
RPT-00333,2022-08-01,SEG_039,Mechanical Damage,Major,Repair ASAP,2022-08-11,INS-326,UT
RPT-00334,2022-08-01,SEG_063,Mechanical Damage,Major,Repair ASAP,2022-08-16,INS-766,ILI
RPT-00335,2022-08-01,SEG_010,Coating Damage,Minor,Repair ASAP,2022-08-27,INS-238,UT
RPT-00336,2022-08-01,SEG_029,No Issues,None,Routine Maintenance,,INS-118,Visual
RPT-00337,2022-08-01,SEG_075,Vegetation Encroachment,Minor,Monitor,,INS-106,ROW Patrol
RPT-00338,2022-08-08,SEG_046,Third-Party Interference,Major,Investigate,2022-08-12,INS-400,ILI
RPT-00339,2022-08-08,SEG_017,Third-Party Interference,Major,Investigate,2022-08-11,INS-783,UT
RPT-00340,2022-08-08,SEG_083,No Issues,None,Routine Maintenance,,INS-479,Visual
RPT-00341,2022-08-08,SEG_069,No Issues,None,Routine Maintenance,,INS-336,Visual
RPT-00342,2022-08-08,SEG_018,Coating Damage,Minor,Repair ASAP,2022-08-21,INS-252,ILI
RPT-00343,2022-08-08,SEG_080,No Issues,None,Routine Maintenance,,INS-442,ILI
RPT-00344,2022-08-08,SEG_001,Corrosion,Critical,Monitor,2022-08-21,INS-584,Hydrotest
RPT-00345,2022-08-08,SEG_079,Mechanical Damage,Major,Immediate Shutdown,2022-08-13,INS-479,ILI
RPT-00346,2022-08-15,SEG_007,Third-Party Interference,Moderate,Investigate,,INS-608,UT
RPT-00347,2022-08-15,SEG_013,Coating Damage,Minor,Repair ASAP,2022-09-05,INS-552,UT
RPT-00348,2022-08-15,SEG_083,Corrosion,Minor,Immediate Shutdown,,INS-653,Visual
RPT-00349,2022-08-15,SEG_004,Vegetation Encroachment,Minor,Clear Area,,INS-647,Visual
RPT-00350,2022-08-15,SEG_016,Mechanical Damage,Critical,Immediate Shutdown,2022-08-16,INS-135,Hydrotest
RPT-00351,2022-08-15,SEG_042,No Issues,None,Routine Maintenance,,INS-455,Visual
RPT-00352,2022-08-15,SEG_003,Third-Party Interference,Moderate,Investigate,,INS-904,ILI
RPT-00353,2022-08-15,SEG_079,Mechanical Damage,Critical,Immediate Shutdown,2022-09-14,INS-556,ILI
RPT-00354,2022-08-22,SEG_041,Vegetation Encroachment,Minor,Clear Area,,INS-899,ILI
RPT-00355,2022-08-22,SEG_031,Third-Party Interference,Major,Investigate,2022-08-30,INS-974,Hydrotest
RPT-00356,2022-08-22,SEG_027,Third-Party Interference,Major,Investigate,2022-09-18,INS-672,Hydrotest
RPT-00357,2022-08-22,SEG_013,Vegetation Encroachment,Minor,Monitor,,INS-324,ILI
RPT-00358,2022-08-22,SEG_012,No Issues,None,Routine Maintenance,,INS-818,ROW Patrol
RPT-00359,2022-08-22,SEG_072,No Issues,None,Routine Maintenance,,INS-910,ROW Patrol
RPT-00360,2022-08-22,SEG_005,Third-Party Interference,Major,Investigate,2022-09-06,INS-505,Visual
RPT-00361,2022-08-22,SEG_083,Corrosion,Minor,Immediate Shutdown,,INS-830,UT
RPT-00362,2022-08-29,SEG_070,Mechanical Damage,Major,Repair ASAP,2022-09-13,INS-293,UT
RPT-00363,2022-08-29,SEG_026,Coating Damage,Minor,Repair ASAP,2022-09-10,INS-312,UT
RPT-00364,2022-08-29,SEG_000,Mechanical Damage,Major,Repair ASAP,2022-09-24,INS-180,UT
RPT-00365,2022-08-29,SEG_006,No Issues,None,Routine Maintenance,,INS-681,ILI
RPT-00366,2022-08-29,SEG_013,Coating Damage,Minor,Monitor,,INS-198,ILI
RPT-00367,2022-08-29,SEG_016,Mechanical Damage,Critical,Repair ASAP,2022-09-04,INS-640,Hydrotest
RPT-00368,2022-08-29,SEG_072,Corrosion,Major,Repair ASAP,2022-09-05,INS-811,ILI
RPT-00369,2022-08-29,SEG_052,Vegetation Encroachment,Minor,Monitor,,INS-894,UT
RPT-00370,2022-09-05,SEG_016,No Issues,None,Routine Maintenance,,INS-582,ROW Patrol
RPT-00371,2022-09-05,SEG_060,Vegetation Encroachment,Minor,Monitor,,INS-576,ROW Patrol
RPT-00372,2022-09-05,SEG_049,No Issues,None,Routine Maintenance,,INS-326,ROW Patrol
RPT-00373,2022-09-05,SEG_013,Coating Damage,Moderate,Repair ASAP,2022-09-28,INS-344,UT
RPT-00374,2022-09-05,SEG_010,Coating Damage,Minor,Monitor,,INS-360,ILI
RPT-00375,2022-09-05,SEG_068,No Issues,None,Routine Maintenance,,INS-127,Visual
RPT-00376,2022-09-05,SEG_014,Coating Damage,Moderate,Repair ASAP,2022-09-18,INS-681,ROW Patrol
RPT-00377,2022-09-05,SEG_045,Mechanical Damage,Major,Immediate Shutdown,2022-09-06,INS-241,Hydrotest
RPT-00378,2022-09-12,SEG_047,Coating Damage,Minor,Repair ASAP,2022-09-16,INS-216,Hydrotest
RPT-00379,2022-09-12,SEG_056,Vegetation Encroachment,Minor,Monitor,,INS-817,ILI
RPT-00380,2022-09-12,SEG_057,No Issues,None,Routine Maintenance,,INS-551,Visual
RPT-00381,2022-09-12,SEG_084,No Issues,None,Routine Maintenance,,INS-178,ROW Patrol
RPT-00382,2022-09-12,SEG_052,Coating Damage,Moderate,Monitor,,INS-408,Hydrotest
RPT-00383,2022-09-12,SEG_033,Third-Party Interference,Major,Investigate,2022-10-09,INS-650,ROW Patrol
RPT-00384,2022-09-12,SEG_074,Vegetation Encroachment,Minor,Clear Area,,INS-900,UT
RPT-00385,2022-09-12,SEG_015,No Issues,None,Routine Maintenance,,INS-964,ROW Patrol
RPT-00386,2022-09-19,SEG_018,No Issues,None,Routine Maintenance,,INS-141,Visual
RPT-00387,2022-09-19,SEG_065,Corrosion,Critical,Monitor,2022-09-25,INS-507,ILI
RPT-00388,2022-09-19,SEG_041,Vegetation Encroachment,Minor,Monitor,,INS-759,UT
RPT-00389,2022-09-19,SEG_074,Third-Party Interference,Major,Investigate,2022-09-29,INS-586,Visual
RPT-00390,2022-09-19,SEG_020,Third-Party Interference,Major,Repair ASAP,2022-10-09,INS-607,Hydrotest
RPT-00391,2022-09-19,SEG_008,Mechanical Damage,Moderate,Repair ASAP,2022-10-07,INS-505,UT
RPT-00392,2022-09-19,SEG_039,No Issues,None,Routine Maintenance,,INS-476,ROW Patrol
RPT-00393,2022-09-19,SEG_038,Vegetation Encroachment,Minor,Clear Area,,INS-172,ROW Patrol
RPT-00394,2022-09-26,SEG_032,No Issues,None,Routine Maintenance,,INS-526,ROW Patrol
RPT-00395,2022-09-26,SEG_012,Third-Party Interference,Major,Investigate,2022-10-23,INS-506,UT
RPT-00396,2022-09-26,SEG_063,No Issues,None,Routine Maintenance,,INS-816,ROW Patrol
RPT-00397,2022-09-26,SEG_014,No Issues,None,Routine Maintenance,,INS-788,ROW Patrol
RPT-00398,2022-09-26,SEG_019,Third-Party Interference,Major,Repair ASAP,2022-09-27,INS-214,Hydrotest
RPT-00399,2022-09-26,SEG_081,Corrosion,Minor,Immediate Shutdown,,INS-818,UT
RPT-00400,2022-09-26,SEG_038,Coating Damage,Minor,Monitor,,INS-245,Visual
RPT-00401,2022-09-26,SEG_057,Vegetation Encroachment,Minor,Monitor,,INS-600,Hydrotest
RPT-00402,2022-10-03,SEG_026,No Issues,None,Routine Maintenance,,INS-814,ROW Patrol
RPT-00403,2022-10-03,SEG_036,Coating Damage,Moderate,Monitor,,INS-524,UT
RPT-00404,2022-10-03,SEG_078,Coating Damage,Moderate,Monitor,,INS-497,UT
RPT-00405,2022-10-03,SEG_050,Corrosion,Minor,Immediate Shutdown,,INS-672,ROW Patrol
RPT-00406,2022-10-03,SEG_081,Vegetation Encroachment,Minor,Clear Area,,INS-436,Hydrotest
RPT-00407,2022-10-03,SEG_017,Corrosion,Minor,Monitor,,INS-743,Hydrotest
RPT-00408,2022-10-03,SEG_034,No Issues,None,Routine Maintenance,,INS-926,Visual
RPT-00409,2022-10-03,SEG_058,Coating Damage,Moderate,Repair ASAP,2022-10-24,INS-627,UT
RPT-00410,2022-10-10,SEG_042,Third-Party Interference,Major,Investigate,2022-11-02,INS-298,Visual
RPT-00411,2022-10-10,SEG_085,Corrosion,Critical,Monitor,2022-10-24,INS-544,Hydrotest
RPT-00412,2022-10-10,SEG_028,Coating Damage,Moderate,Monitor,,INS-554,Visual
RPT-00413,2022-10-10,SEG_057,Vegetation Encroachment,Minor,Clear Area,,INS-540,UT
RPT-00414,2022-10-10,SEG_053,No Issues,None,Routine Maintenance,,INS-182,ROW Patrol
RPT-00415,2022-10-10,SEG_054,No Issues,None,Routine Maintenance,,INS-715,Visual
RPT-00416,2022-10-10,SEG_041,Third-Party Interference,Moderate,Investigate,,INS-720,ILI
RPT-00417,2022-10-10,SEG_064,Mechanical Damage,Major,Repair ASAP,2022-10-18,INS-893,Hydrotest
RPT-00418,2022-10-17,SEG_043,Vegetation Encroachment,Minor,Monitor,,INS-315,ROW Patrol
RPT-00419,2022-10-17,SEG_075,Corrosion,Minor,Immediate Shutdown,,INS-976,ILI
RPT-00420,2022-10-17,SEG_063,Vegetation Encroachment,Minor,Monitor,,INS-280,UT
RPT-00421,2022-10-17,SEG_058,Third-Party Interference,Major,Repair ASAP,2022-11-02,INS-549,Visual
RPT-00422,2022-10-17,SEG_064,Mechanical Damage,Critical,Immediate Shutdown,2022-11-08,INS-321,UT
RPT-00423,2022-10-17,SEG_037,Vegetation Encroachment,Minor,Monitor,,INS-649,Visual
RPT-00424,2022-10-17,SEG_007,Mechanical Damage,Major,Immediate Shutdown,2022-11-07,INS-361,ROW Patrol
RPT-00425,2022-10-17,SEG_051,Coating Damage,Minor,Repair ASAP,2022-11-12,INS-820,Hydrotest
RPT-00426,2022-10-24,SEG_006,No Issues,None,Routine Maintenance,,INS-803,ILI
RPT-00427,2022-10-24,SEG_081,Mechanical Damage,Moderate,Repair ASAP,2022-11-10,INS-265,UT
RPT-00428,2022-10-24,SEG_058,Corrosion,Major,Monitor,2022-11-23,INS-904,Hydrotest
RPT-00429,2022-10-24,SEG_067,Third-Party Interference,Major,Investigate,2022-11-09,INS-347,ILI
RPT-00430,2022-10-24,SEG_079,Mechanical Damage,Major,Repair ASAP,2022-11-23,INS-625,ILI
RPT-00431,2022-10-24,SEG_026,No Issues,None,Routine Maintenance,,INS-348,ROW Patrol
RPT-00432,2022-10-24,SEG_043,Third-Party Interference,Major,Investigate,2022-11-10,INS-520,UT
RPT-00433,2022-10-24,SEG_013,Vegetation Encroachment,Minor,Clear Area,,INS-847,Visual
RPT-00434,2022-10-31,SEG_022,No Issues,None,Routine Maintenance,,INS-212,ROW Patrol
RPT-00435,2022-10-31,SEG_003,Vegetation Encroachment,Minor,Monitor,,INS-221,Hydrotest
RPT-00436,2022-10-31,SEG_056,Third-Party Interference,Major,Investigate,2022-11-30,INS-418,Hydrotest
RPT-00437,2022-10-31,SEG_085,Mechanical Damage,Moderate,Immediate Shutdown,,INS-771,ILI
RPT-00438,2022-10-31,SEG_073,Coating Damage,Minor,Monitor,,INS-605,Hydrotest
RPT-00439,2022-10-31,SEG_031,Mechanical Damage,Critical,Immediate Shutdown,2022-11-13,INS-827,UT
RPT-00440,2022-10-31,SEG_044,Coating Damage,Minor,Monitor,,INS-690,Hydrotest
RPT-00441,2022-10-31,SEG_063,Coating Damage,Moderate,Repair ASAP,2022-11-13,INS-917,ILI
RPT-00442,2022-11-07,SEG_050,Corrosion,Minor,Monitor,,INS-169,UT
RPT-00443,2022-11-07,SEG_075,No Issues,None,Routine Maintenance,,INS-981,ROW Patrol
RPT-00444,2022-11-07,SEG_084,Vegetation Encroachment,Minor,Monitor,,INS-452,Hydrotest
RPT-00445,2022-11-07,SEG_024,No Issues,None,Routine Maintenance,,INS-132,ILI
RPT-00446,2022-11-07,SEG_028,No Issues,None,Routine Maintenance,,INS-679,Visual
RPT-00447,2022-11-07,SEG_038,Vegetation Encroachment,Minor,Monitor,,INS-868,UT
RPT-00448,2022-11-07,SEG_073,No Issues,None,Routine Maintenance,,INS-814,ROW Patrol
RPT-00449,2022-11-07,SEG_077,Third-Party Interference,Major,Investigate,2022-11-09,INS-880,ROW Patrol
RPT-00450,2022-11-14,SEG_075,No Issues,None,Routine Maintenance,,INS-476,ILI
RPT-00451,2022-11-14,SEG_074,Third-Party Interference,Major,Repair ASAP,2022-11-18,INS-469,ILI
RPT-00452,2022-11-14,SEG_054,No Issues,None,Routine Maintenance,,INS-518,Visual
RPT-00453,2022-11-14,SEG_001,Vegetation Encroachment,Minor,Monitor,,INS-326,ILI
RPT-00454,2022-11-14,SEG_030,No Issues,None,Routine Maintenance,,INS-705,ROW Patrol
RPT-00455,2022-11-14,SEG_014,Coating Damage,Minor,Repair ASAP,2022-12-04,INS-700,Hydrotest
RPT-00456,2022-11-14,SEG_053,No Issues,None,Routine Maintenance,,INS-606,Visual
RPT-00457,2022-11-14,SEG_057,Vegetation Encroachment,Minor,Monitor,,INS-364,Hydrotest
RPT-00458,2022-11-21,SEG_035,Mechanical Damage,Critical,Repair ASAP,2022-11-28,INS-468,UT
RPT-00459,2022-11-21,SEG_020,Third-Party Interference,Major,Repair ASAP,2022-12-05,INS-794,ILI
RPT-00460,2022-11-21,SEG_038,Coating Damage,Minor,Repair ASAP,2022-12-20,INS-285,ILI
RPT-00461,2022-11-21,SEG_003,Mechanical Damage,Moderate,Immediate Shutdown,,INS-476,ROW Patrol
RPT-00462,2022-11-21,SEG_076,No Issues,None,Routine Maintenance,,INS-741,Visual
RPT-00463,2022-11-21,SEG_042,Third-Party Interference,Major,Investigate,2022-12-02,INS-958,Hydrotest
RPT-00464,2022-11-21,SEG_051,Corrosion,Minor,Immediate Shutdown,,INS-507,ILI
RPT-00465,2022-11-21,SEG_044,Corrosion,Minor,Immediate Shutdown,,INS-248,ILI
RPT-00466,2022-11-26,SEG_085,Corrosion,Critical,Monitor,2022-12-04,INS-501,Visual
RPT-00467,2022-11-28,SEG_044,No Issues,None,Routine Maintenance,,INS-329,ROW Patrol
RPT-00468,2022-11-28,SEG_039,Vegetation Encroachment,Minor,Clear Area,,INS-727,UT
RPT-00469,2022-11-28,SEG_065,Third-Party Interference,Moderate,Investigate,,INS-453,Hydrotest
RPT-00470,2022-11-28,SEG_041,Mechanical Damage,Critical,Repair ASAP,2022-12-20,INS-286,ILI
RPT-00471,2022-11-28,SEG_061,Corrosion,Minor,Immediate Shutdown,,INS-459,Hydrotest
RPT-00472,2022-11-28,SEG_067,No Issues,None,Routine Maintenance,,INS-160,Visual
RPT-00473,2022-11-28,SEG_005,Mechanical Damage,Major,Immediate Shutdown,2022-12-11,INS-148,ILI
RPT-00474,2022-11-28,SEG_037,No Issues,None,Routine Maintenance,,INS-293,ROW Patrol
RPT-00475,2022-12-05,SEG_041,Third-Party Interference,Moderate,Repair ASAP,2022-12-12,INS-988,Hydrotest
RPT-00476,2022-12-05,SEG_056,Corrosion,Minor,Monitor,,INS-109,Hydrotest
RPT-00477,2022-12-05,SEG_084,Vegetation Encroachment,Minor,Clear Area,,INS-509,UT
RPT-00478,2022-12-05,SEG_061,Vegetation Encroachment,Minor,Clear Area,,INS-923,UT
RPT-00479,2022-12-05,SEG_044,Third-Party Interference,Major,Repair ASAP,2022-12-23,INS-972,UT
RPT-00480,2022-12-05,SEG_036,No Issues,None,Routine Maintenance,,INS-224,ROW Patrol
RPT-00481,2022-12-05,SEG_030,Mechanical Damage,Major,Immediate Shutdown,2022-12-19,INS-884,Visual
RPT-00482,2022-12-05,SEG_080,No Issues,None,Routine Maintenance,,INS-322,ROW Patrol
RPT-00483,2022-12-12,SEG_069,Third-Party Interference,Moderate,Investigate,,INS-622,ILI
RPT-00484,2022-12-12,SEG_078,Vegetation Encroachment,Minor,Clear Area,,INS-497,Visual
RPT-00485,2022-12-12,SEG_032,Coating Damage,Moderate,Repair ASAP,2022-12-18,INS-304,Hydrotest
RPT-00486,2022-12-12,SEG_031,No Issues,None,Routine Maintenance,,INS-348,ROW Patrol
RPT-00487,2022-12-12,SEG_068,Vegetation Encroachment,Minor,Clear Area,,INS-409,UT
RPT-00488,2022-12-12,SEG_050,Coating Damage,Moderate,Monitor,,INS-197,Visual
RPT-00489,2022-12-12,SEG_023,Mechanical Damage,Major,Repair ASAP,2023-01-02,INS-528,Visual
RPT-00490,2022-12-12,SEG_014,No Issues,None,Routine Maintenance,,INS-233,ROW Patrol
RPT-00491,2022-12-19,SEG_074,Vegetation Encroachment,Minor,Clear Area,,INS-327,Visual
RPT-00492,2022-12-19,SEG_084,Mechanical Damage,Moderate,Repair ASAP,2022-12-22,INS-605,ILI
RPT-00493,2022-12-19,SEG_056,No Issues,None,Routine Maintenance,,INS-564,Visual
RPT-00494,2022-12-19,SEG_029,Coating Damage,Moderate,Monitor,,INS-883,ROW Patrol
RPT-00495,2022-12-19,SEG_007,Mechanical Damage,Critical,Repair ASAP,2022-12-25,INS-507,Hydrotest
RPT-00496,2022-12-19,SEG_008,Third-Party Interference,Moderate,Investigate,,INS-502,Visual
RPT-00497,2022-12-19,SEG_068,No Issues,None,Routine Maintenance,,INS-252,ROW Patrol
RPT-00498,2022-12-19,SEG_035,No Issues,None,Routine Maintenance,,INS-794,ROW Patrol
RPT-00499,2022-12-26,SEG_084,No Issues,None,Routine Maintenance,,INS-617,Visual
RPT-00500,2022-12-26,SEG_052,Vegetation Encroachment,Minor,Monitor,,INS-903,ILI
RPT-00501,2022-12-26,SEG_036,Coating Damage,Minor,Repair ASAP,2023-01-14,INS-708,ROW Patrol
RPT-00502,2022-12-26,SEG_012,Coating Damage,Minor,Monitor,,INS-924,UT
RPT-00503,2022-12-26,SEG_008,No Issues,None,Routine Maintenance,,INS-681,Visual
RPT-00504,2022-12-26,SEG_013,No Issues,None,Routine Maintenance,,INS-470,Visual
RPT-00505,2022-12-26,SEG_035,No Issues,None,Routine Maintenance,,INS-928,ROW Patrol
RPT-00506,2022-12-26,SEG_039,Third-Party Interference,Moderate,Investigate,,INS-259,Visual
RPT-00507,2023-01-02,SEG_005,Coating Damage,Moderate,Monitor,,INS-267,UT
RPT-00508,2023-01-02,SEG_018,No Issues,None,Routine Maintenance,,INS-509,ROW Patrol
RPT-00509,2023-01-02,SEG_048,Vegetation Encroachment,Minor,Clear Area,,INS-518,Hydrotest
RPT-00510,2023-01-02,SEG_065,Vegetation Encroachment,Minor,Monitor,,INS-929,Hydrotest
RPT-00511,2023-01-02,SEG_064,No Issues,None,Routine Maintenance,,INS-701,Visual
RPT-00512,2023-01-02,SEG_012,No Issues,None,Routine Maintenance,,INS-334,Visual
RPT-00513,2023-01-02,SEG_072,Coating Damage,Minor,Repair ASAP,2023-01-20,INS-204,Visual
RPT-00514,2023-01-02,SEG_082,Coating Damage,Moderate,Repair ASAP,2023-01-22,INS-498,UT
RPT-00515,2023-01-09,SEG_024,Coating Damage,Minor,Repair ASAP,2023-02-07,INS-258,UT
RPT-00516,2023-01-09,SEG_034,Mechanical Damage,Moderate,Immediate Shutdown,,INS-143,Visual
RPT-00517,2023-01-09,SEG_038,Mechanical Damage,Critical,Repair ASAP,2023-01-17,INS-501,Hydrotest
RPT-00518,2023-01-09,SEG_010,Mechanical Damage,Moderate,Repair ASAP,2023-01-12,INS-236,UT
RPT-00519,2023-01-09,SEG_059,Coating Damage,Moderate,Monitor,,INS-796,UT
RPT-00520,2023-01-09,SEG_073,No Issues,None,Routine Maintenance,,INS-577,Visual
RPT-00521,2023-01-09,SEG_052,No Issues,None,Routine Maintenance,,INS-982,ILI
RPT-00522,2023-01-09,SEG_006,Mechanical Damage,Critical,Immediate Shutdown,2023-02-01,INS-222,UT
RPT-00523,2023-01-16,SEG_030,Coating Damage,Moderate,Monitor,,INS-731,UT
RPT-00524,2023-01-16,SEG_046,Vegetation Encroachment,Minor,Monitor,,INS-268,ILI
RPT-00525,2023-01-16,SEG_024,No Issues,None,Routine Maintenance,,INS-143,ILI
RPT-00526,2023-01-16,SEG_042,No Issues,None,Routine Maintenance,,INS-521,ROW Patrol
RPT-00527,2023-01-16,SEG_029,No Issues,None,Routine Maintenance,,INS-157,Visual
RPT-00528,2023-01-16,SEG_076,Mechanical Damage,Major,Repair ASAP,2023-02-10,INS-971,UT
RPT-00529,2023-01-16,SEG_047,No Issues,None,Routine Maintenance,,INS-760,Visual
RPT-00530,2023-01-16,SEG_072,Vegetation Encroachment,Minor,Clear Area,,INS-290,Hydrotest
RPT-00531,2023-01-23,SEG_053,Mechanical Damage,Major,Repair ASAP,2023-02-04,INS-320,UT
RPT-00532,2023-01-23,SEG_066,No Issues,None,Routine Maintenance,,INS-866,ILI
RPT-00533,2023-01-23,SEG_052,No Issues,None,Routine Maintenance,,INS-352,Visual
RPT-00534,2023-01-23,SEG_011,Corrosion,Minor,Monitor,,INS-770,UT
RPT-00535,2023-01-23,SEG_067,No Issues,None,Routine Maintenance,,INS-531,ROW Patrol
RPT-00536,2023-01-23,SEG_056,Vegetation Encroachment,Minor,Clear Area,,INS-830,ILI
RPT-00537,2023-01-23,SEG_064,No Issues,None,Routine Maintenance,,INS-394,Visual
